name,rating,reviews,salary
vivo,4.0,4.9k Reviews,13k Salaries
Varun Beverages,4.0,4.9k Reviews,12.3k Salaries
JBM Group,3.9,4.9k Reviews,14.3k Salaries
Utkarsh Small Finance Bank,3.6,4.9k Reviews,11.6k Salaries
Ecom Express,4.1,4.8k Reviews,9.3k Salaries
Nagarro,3.9,4.8k Reviews,33.9k Salaries
Eviden,3.6,4.8k Reviews,26.6k Salaries
Randstad,3.7,4.8k Reviews,17.4k Salaries
Bosch,4.1,4.7k Reviews,21.3k Salaries
EY Global Delivery Services ( EY GDS),3.5,4.7k Reviews,53.9k Salaries
Intas Pharmaceuticals,4.1,4.7k Reviews,18k Salaries
Havells,3.9,4.7k Reviews,15.7k Salaries
L&T Finance,3.9,4.7k Reviews,12.2k Salaries
Hewlett Packard Enterprise,4.0,4.7k Reviews,27.8k Salaries
Aditya Birla Fashion and Retail,4.0,4.7k Reviews,13.4k Salaries
R1 RCM,3.8,4.7k Reviews,22.4k Salaries
Hetero,3.9,4.7k Reviews,15.6k Salaries
Cars24,3.4,4.7k Reviews,16k Salaries
Tata AIA Life Insurance,3.9,4.6k Reviews,14.9k Salaries
Mahindra Logistics,3.7,4.6k Reviews,13k Salaries
Home Credit Finance,4.0,4.6k Reviews,9.2k Salaries
Dell,3.8,4.6k Reviews,29.4k Salaries
Berger Paints,3.7,4.6k Reviews,10.8k Salaries
Lenskart,3.3,4.6k Reviews,13.6k Salaries
Deutsche Bank,3.8,4.6k Reviews,38.4k Salaries
Motilal Oswal Financial Services,3.7,4.5k Reviews,13.6k Salaries
OPPO,3.9,4.5k Reviews,11.8k Salaries
Hyundai Motor India Limited,4.1,4.5k Reviews,14.6k Salaries
TeamLease Services,3.9,4.4k Reviews,16.5k Salaries
VE Commercial Vehicles,3.9,4.4k Reviews,14.4k Salaries
Thermax Limited,4.2,4.3k Reviews,13.5k Salaries
Jubilant Foods Works,3.7,4.3k Reviews,9.8k Salaries
Carelon Global Solutions,3.9,4.3k Reviews,29.3k Salaries
Macleods Pharmaceuticals,3.7,4.3k Reviews,16k Salaries
Aakash Educational Services,3.2,4.3k Reviews,14k Salaries
Bajaj Auto,3.8,4.2k Reviews,14.8k Salaries
Jindal Steel Limited,3.9,4.2k Reviews,16.3k Salaries
State Street Corporation,3.5,4.2k Reviews,34.3k Salaries
Hindalco Industries,4.2,4.2k Reviews,13.3k Salaries
LG Electronics,3.8,4.2k Reviews,11.3k Salaries
Kogta Financial India Limited,4.6,4.2k Reviews,2k Salaries
HDFC ERGO General Insurance,4.0,4.1k Reviews,12.2k Salaries
DCB Bank,3.8,4.1k Reviews,10k Salaries
Royal Enfield,4.1,4.1k Reviews,15.1k Salaries
John Deere,4.0,4.1k Reviews,15.7k Salaries
RBL Bank,3.5,4.1k Reviews,18.7k Salaries
Tata Communications,3.8,4.1k Reviews,23.7k Salaries
Publicis Sapient,3.2,4.1k Reviews,33.5k Salaries
Cummins,4.3,4.1k Reviews,15.7k Salaries
Alembic Pharmaceuticals,3.9,4k Reviews,15.6k Salaries
Bank of America,4.1,4k Reviews,30.3k Salaries
Cloudnine Hospital,4.5,4k Reviews,3.1k Salaries
Pidilite Industries,4.2,4k Reviews,12.3k Salaries
Grasim Industries,4.0,4k Reviews,13.4k Salaries
Aditya Birla Sun Life Insurance,4.0,4k Reviews,10.6k Salaries
Oyo Rooms,3.0,3.9k Reviews,13.6k Salaries
PNB MetLife,3.3,3.9k Reviews,8.2k Salaries
